NYISO Name,PTID,Zone,Facility Name,Facility ID,Unit ID,Unit Type,Fuel Type, Operating Time, Gross Load (MWh), Heat Input (MMBtu), Facility Latitude, Facility Longitude, Max Hourly HI Rate (MMBtu/hr),Name Plate Rating (MW),2018 Net Energy (GWh),2019 CRIS Summer (MW),2019 CRIS Winter (MW),2019 Capability Summer (MW),2019 Capability Winter (MW),Combined
Ravenswood ST 02,23534,J,Ravenswood Generating Station,2500,30,Steam Turbine,Fuel Oil 6,642.28,136082.2,1591384.174,40.7585,-73.9451,3900,400,579,391.6,391.6,374,375.7,0
Ravenswood ST 03,23535,J,Ravenswood Generating Station,2500,20,Steam Turbine,Fuel Oil 6,3372.44,433288.42,4643308.859,40.7585,-73.9451,6987,1027,797.2,986.8,986.8,975,976.2,0
Arthur Kill ST 2,23512,J,Arthur Kill,2490,20,Steam Turbine,Natural Gas,6501.17,756429.21,8155041.542,40.5915,-74.2027,3984,376.2,454.4,357.7,357.7,335.4,341.8,0
East River 7,23524,J,East River,2493,70,Steam Turbine,Natural Gas,4163,0,3908059.875,40.7281,-73.9742,2300,200,209.6,186.7,186.7,182.5,188.4,0
East River 6,23660,J,East River,2493,60,Steam Turbine,Natural Gas,6258.75,0,6652228,40.7281,-73.9742,7600,156.2,511.6,144.3,144.3,145.3,147.1,0
Astoria 2,24149,J,Astoria Generating Station,8906,20,Steam Turbine,Natural Gas,128.17,7370.61,97407.987,40.7869,-73.9122,3984,180,12.6,177,177,172.4,170.5,0
Arthur Kill ST 3,23513,J,Arthur Kill,2490,30,Steam Turbine,Natural Gas,1274.04,201520.82,2215484.095,40.5915,-74.2027,3800,535.5,534.3,518,518,519.4,522.9,0
Port Jefferson 3,23555,K,Port Jefferson Energy Center,2517,3,Steam Turbine,Fuel Oil 6,1262.5,120976,1235383.75,40.9503,-73.0786,4094,188,172.7,194.5,194.5,189,195,0
Port Jefferson 4,23616,K,Port Jefferson Energy Center,2517,4,Steam Turbine,Fuel Oil 6,2282.25,180124.5,2068296.875,40.9503,-73.0786,2300,188,155.2,198.7,198.7,189.5,191.7,0
Barrett ST 01,23545,K,E F Barrett,2511,10,Steam Turbine,Natural Gas,7281.25,916430.5,9697815.825,40.6169,-73.6486,4204,188,566.9,200.2,200.2,197.2,197.2,0
Barrett ST 02,23546,K,E F Barrett,2511,20,Steam Turbine,Natural Gas,4198.5,508862.75,5235747.875,40.6169,-73.6486,9379,188,721.4,197.5,197.5,187.7,193,0
Northport 1,23551,K,Northport,2516,1,Steam Turbine,Natural Gas,1836.25,364416.75,3716312.05,40.9231,-73.3417,4074,387,340.3,395,395,397.2,395,0
Northport 2,23552,K,Northport,2516,2,Steam Turbine,Natural Gas,2678,565367.75,6041787.55,40.9231,-73.3417,4074,387,665.4,396,396,399.7,397.5,0
Northport 4,23650,K,Northport,2516,4,Steam Turbine,Natural Gas,3220.75,672960,6927217.75,40.9231,-73.3417,4094,387,746.1,399.2,399.2,380,373.7,0
Northport 3,23553,K,Northport,2516,3,Steam Turbine,Natural Gas,2675,579122.5,5867220.9,40.9231,-73.3417,7031,387,932.1,399.2,399.2,397.7,395,0
