region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
K,SolarUtility_K_Existing,11,1,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,SolarUtility_K_New,11,1,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,WindOffshore_J_New,10,1,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,WindOffshore_K_New,11,1,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,WindLand_A_Existing,1,1,76,0.0,0.0,0.0,1.4471368274931047e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.855733323480071e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.855733323480071e7,1.4471368274931047e7,6.408596495986967e7
A,WindLand_A_New,1,1,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,WindLand_B_Existing,2,1,78,0.0,0.0,0.0,213241.86339483122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081811445924786e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081811445924786e6,213241.86339483122,868569.5825299547
B,WindLand_B_New,2,1,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,WindLand_C_Existing,3,1,80,0.0,0.0,0.0,2.953722901750829e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.489277245891513e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.489277245891513e8,2.953722901750829e7,1.19390495571643e8
C,WindLand_C_New,3,1,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,WindLand_D_Existing,4,1,82,0.0,0.0,0.0,2.191867880712932e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2011180720478803e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2011180720478803e8,2.191867880712932e7,9.81931283976587e7
D,WindLand_D_New,4,1,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
