BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t56,11728.985930177192,0.0,-0.0,0.0,0.0,0.0,0.0,-1083.2665915976802,-16.719338579513217,-10629.0,3417.4527469818327,0.0,-0.0,0.0,0.0,0.0,0.0,-380.113936907328,-2.3388100745049316,-3035.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1463.3805285050082,-14.380528505008286,-1449.0
t57,11728.985930177192,0.0,-0.0,0.0,0.0,0.0,0.0,-950.157087873024,-17.828842304169658,-10761.0,3607.6717544311455,0.0,-0.0,0.0,0.0,0.0,0.0,-531.4020807376367,-3.269673693509098,-3073.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1481.5591686106607,-14.559168610660564,-1467.0
t58,11728.985930177192,0.0,-0.0,0.0,0.0,0.0,0.0,-875.5365695740218,-18.44936060317073,-10835.0,3713.912791029149,0.0,-0.0,0.0,0.0,0.0,0.0,-616.1218435397791,-3.790947489370012,-3094.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1491.6584131138009,-14.658413113800718,-1477.0
t59,11728.985930177192,0.0,-0.0,0.0,0.0,0.0,0.0,-777.7249429762891,-19.26098720090242,-10932.0,3853.5360442246133,0.0,-0.0,0.0,0.0,0.0,0.0,-727.0624879915938,-4.473556233019505,-3122.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1504.7874309678828,-14.787430967882916,-1490.0
t60,11728.985930177192,0.0,-0.0,0.0,0.0,0.0,0.0,-759.5647897339992,-19.42114044319361,-10950.0,3879.8563507091944,0.0,-0.0,0.0,0.0,0.0,0.0,-748.2524145848259,-4.603936124368645,-3127.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1507.8172043188251,-14.817204318824963,-1493.0
t61,11728.985930177192,0.0,-0.0,0.0,0.0,0.0,0.0,-804.9408153201706,-19.045114857020252,-10905.0,3816.10429953685,0.0,-0.0,0.0,0.0,0.0,0.0,-696.8168422967703,-4.28745724007938,-3115.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1501.7576576169408,-14.75765761694087,-1487.0
t62,11728.985930177192,0.0,-0.0,0.0,0.0,0.0,0.0,-820.0823955285987,-18.903534648592714,-10890.0,3793.8211391199943,0.0,-0.0,0.0,0.0,0.0,0.0,-678.6454887374001,-4.175650382593891,-3111.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1498.7278842659987,-14.727884265998824,-1484.0
t63,11728.985930177192,0.0,-0.0,0.0,0.0,0.0,0.0,-861.4174187232519,-18.56851145394063,-10849.0,3734.1510927306886,0.0,-0.0,0.0,0.0,0.0,0.0,-632.2608432911769,-3.8902494395118836,-3098.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1493.6782620144288,-14.678262014428748,-1479.0
t64,11728.985930177192,0.0,-0.0,0.0,0.0,0.0,0.0,-710.1640001026728,-19.82193007451853,-10999.0,3949.6579299718455,0.0,-0.0,0.0,0.0,0.0,0.0,-803.7127509180362,-4.945179053809478,-3141.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1513.8767510207092,-14.876751020709055,-1499.0
t65,11728.985930177192,0.0,-0.0,0.0,0.0,0.0,0.0,156.05396511888148,-27.039895296073308,-11858.0,5185.093860414954,0.0,-0.0,0.0,0.0,0.0,0.0,-1788.0918768263305,-11.001983588624451,-3386.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1632.037911707449,-16.037911707448856,-1616.0
