BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t184,19380.8,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-19275.8
t185,19763.906728100854,70.99327189914358,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19834.899999999998
t186,20455.8,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20560.8
t187,20296.0,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20401.0
t188,19803.1,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19908.1
t189,19275.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19275.8
t190,18321.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18321.2
t191,17136.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17136.1
t192,15928.099999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15928.099999999999
t193,15037.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15037.7
t194,14544.599999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14544.6
t195,14293.399999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14293.4
t196,14249.899999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14249.9
t197,14517.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14517.5
t198,15452.899999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15452.9
t199,17250.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17250.8
t200,18467.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18467.0
t201,18775.6,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18775.6
t202,18930.6,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18930.6
t203,18999.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18999.2
t204,19079.732568697236,0.0,-36.832568697232496,0.0,0.0,0.0,0.0,0.0,0.0,-19042.9
t205,19114.0,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-19009.0
t206,19195.7,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-19090.7
t207,19222.3,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-19117.3
t208,19509.3,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-19404.3
t209,20034.106728100855,70.99327189914358,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20105.1
t210,20941.2,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21046.2
t211,20845.3,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20950.3
t212,20458.7,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20563.7
t213,19943.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19943.2
t214,19055.6,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19055.6
t215,17853.4,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17853.4
t216,16693.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16693.0
t217,15879.099999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15879.1
t218,15420.099999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15420.1
t219,15155.48565011278,0.0,-6.885650112779313,0.0,0.0,0.0,0.0,0.0,0.0,-15148.599999999999
t220,15212.2,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-15107.2
t221,15489.599999999999,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-15384.6
t222,16444.399999999998,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-16339.4
t223,18173.5,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-18068.5
t224,19414.069681338846,0.0,-30.06968133884402,0.0,0.0,0.0,0.0,0.0,0.0,-19384.0
t225,19613.8,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19718.8
t226,19798.8,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19903.8
t227,19906.9,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20011.9
t228,20106.16593634819,71.03406365181155,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20177.2
t229,20046.4,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20046.4
t230,19949.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19949.2
t231,19966.9,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19966.9
t232,20224.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20224.1
t233,20879.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20879.1
t234,21968.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21968.2
t235,21958.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21958.8
t236,21560.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21560.7
t237,20950.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20950.8
t238,20020.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20020.5
t239,18812.6,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18812.6
t240,17589.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17589.5
t241,16777.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16777.2
t242,16317.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16317.0
t243,16139.832568697231,0.0,-36.832568697232496,0.0,0.0,0.0,0.0,0.0,0.0,-16103.0
t244,16195.400000000001,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-16090.400000000001
t245,16461.6,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-16356.6
t246,17442.2,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-17337.2
t247,19279.8,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-19174.8
t248,20346.0,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20451.0
t249,20623.5,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20728.5
t250,20643.600000000002,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20748.600000000002
t251,20552.06593634819,71.03406365181155,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20623.100000000002
t252,20434.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20434.0
t253,20302.3,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-20197.3
t254,20024.9635488,88.83645120000001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20113.8
t255,20123.9,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20123.9
t256,20375.9,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20375.9
t257,21033.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21033.0
t258,21996.9,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21996.9
t259,21989.899999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21989.899999999998
t260,21579.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21579.0
t261,21031.9,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21031.9
t262,20327.6,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20327.6
t263,19331.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19331.8
t264,18249.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18249.2
t265,17366.4,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17366.4
t266,16850.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16850.1
t267,16508.6,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16508.6
t268,16314.3,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16314.300000000001
t269,16297.399999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16297.4
t270,16678.3,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16678.3
t271,17335.899999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17335.899999999998
t272,18108.9,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18108.9
t273,18814.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18814.7
t274,19276.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19276.8
t275,19245.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19245.0
